Date;CutFlowers;PotOwn;PotPurchased;Wholesale;FruitsVegs;Commodity;mean_temp;mean_humid;mean_prec_height_mm;total_prec_height_mm;mean_prec_flag;total_prec_flag;mean_sun_dur_min;total_sun_dur_h;public_holiday;school_holiday
2017-01-10;105,5000000000;3,4000000000;19,5000000000;0,0000000000;23,8000000000;8,7900000000;-0,9625000000;74,9583333333;0,0000000000;0,0000000000;0,1250000000;True;12,5000000000;5,0000000000;no;no
2017-01-11;81,0000000000;8,0000000000;91,4000000000;0,0000000000;20,1000000000;17,7000000000;-0,6291666667;88,0000000000;0,1291666667;3,1000000000;0,6250000000;True;0,5555555556;0,2222222222;no;no
2017-01-12;299,0000000000;9,9000000000;18,9000000000;0,0000000000;2,8000000000;38,3900000000;3,2875000000;81,3750000000;0,1750000000;4,2000000000;0,3750000000;True;0,0000000000;0,0000000000;no;no
2017-01-13;295,2000000000;2,8000000000;28,9000000000;0,0000000000;35,5800000000;17,2400000000;2,1125000000;79,0000000000;0,1375000000;3,3000000000;0,7500000000;True;0,0000000000;0,0000000000;no;no
2017-01-14;202,9000000000;4,8000000000;18,8000000000;0,0000000000;20,1000000000;126,9500000000;1,1250000000;82,0416666667;0,0500000000;1,2000000000;0,7916666667;True;0,4444444444;0,1777777778;no;no
2017-01-15;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;-0,9041666667;87,5416666667;0,0458333333;1,1000000000;0,7500000000;True;1,2222222222;0,4888888889;no;no
2017-01-16;888,0000000000;1,9000000000;30,1000000000;0,0000000000;17,1100000000;94,3200000000;-3,3458333333;87,1250000000;0,0458333333;1,1000000000;0,6250000000;True;3,2222222222;1,2888888889;no;no
2017-01-17;142,7000000000;0,0000000000;0,0000000000;0,0000000000;5,4000000000;16,6500000000;-4,4000000000;81,1666666667;0,0000000000;0,0000000000;0,3333333333;True;13,6111111111;5,4444444444;no;no
2017-01-18;136,5000000000;1,9000000000;23,8000000000;0,0000000000;19,6000000000;75,6500000000;-4,9083333333;77,1666666667;0,0000000000;0,0000000000;0,0000000000;False;23,9444444444;9,5777777778;no;no
2017-01-19;142,4000000000;0,0000000000;7,4000000000;0,0000000000;4,3500000000;39,3000000000;-8,0291666667;77,2083333333;0,0000000000;0,0000000000;0,0000000000;False;25,1111111111;10,0444444444;no;no
2017-01-20;208,3000000000;25,0000000000;38,7000000000;0,0000000000;15,0800000000;26,7100000000;-6,2583333333;73,0416666667;0,0000000000;0,0000000000;0,0000000000;False;25,3333333333;10,1333333333;no;no
2017-01-21;35,7000000000;3,0000000000;18,9000000000;0,0000000000;8,7500000000;26,9000000000;-7,0333333333;79,1666666667;0,0000000000;0,0000000000;0,0000000000;False;25,3888888889;10,1555555556;no;no
2017-01-22;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;-9,7125000000;83,2083333333;0,0000000000;0,0000000000;0,0000000000;False;24,8888888889;9,9555555556;no;no
2017-01-23;113,3000000000;1,9000000000;32,2000000000;0,0000000000;8,9500000000;31,9500000000;-12,1125000000;84,7916666667;0,0000000000;0,0000000000;0,0000000000;False;19,6111111111;7,8444444444;no;no
2017-01-24;347,9000000000;2,0000000000;20,9000000000;0,0000000000;49,5800000000;2,7900000000;-9,3916666667;88,1666666667;0,0000000000;0,0000000000;0,3333333333;True;0,0000000000;0,0000000000;no;no
2017-01-25;150,0000000000;2,0000000000;15,8000000000;0,0000000000;35,5700000000;73,9000000000;-3,4083333333;81,2500000000;0,0000000000;0,0000000000;0,4583333333;True;0,0000000000;0,0000000000;no;no
2017-01-26;50,7000000000;50,9000000000;12,0000000000;0,0000000000;20,4500000000;50,7400000000;-2,2916666667;75,7916666667;0,0000000000;0,0000000000;0,0000000000;False;25,9444444444;10,3777777778;no;no
2017-01-27;202,1000000000;0,0000000000;17,0000000000;0,0000000000;40,6000000000;22,5000000000;-6,5750000000;81,8750000000;0,0000000000;0,0000000000;0,0000000000;False;26,1666666667;10,4666666667;no;no
2017-01-28;215,5500000000;0,0000000000;11,9000000000;27,1300000000;9,5500000000;7,4500000000;-8,1750000000;83,3333333333;0,0000000000;0,0000000000;0,0000000000;False;24,0000000000;9,6000000000;no;no
2017-01-29;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;-5,7416666667;81,9583333333;0,0000000000;0,0000000000;0,0000000000;False;20,9444444444;8,3777777778;no;no
