;dataset;featureset;imputation;dim_reduction;init_train_len;test_len;split_perc;algo;dropout_rate;batch_size;learning_rate;min_val_loss_improvement;max_epochs_wo_improvement;lstm_hidden_dim;lstm_num_layers;seq_length;one_step_ahead;RMSE_Train_RW;MAPE_Train_RW;sMAPE_Train_RW;RMSE_Test_RW;MAPE_Test_RW;sMAPE_Test_RW;RMSE_Train_seasRW;MAPE_Train_seasRW;sMAPE_Train_seasRW;RMSE_Test_seasRW;MAPE_Test_seasRW;sMAPE_Test_seasRW;RMSE_Train_HA;MAPE_Train_HA;sMAPE_Train_HA;RMSE_Test_HA;MAPE_Test_HA;sMAPE_Test_HA;RMSE_Train;MAPE_Train;sMAPE_Train;RMSE_Test;MAPE_Test;sMAPE_Test
0;CashierData_weekly;full;mean;None;;;0,8000000000;LSTM;0,0000000000;4;0,0100000000;0,1000000000;100;10;1;1;True;1017,8168847927;45,8610728684;39,0585896323;996,4191595755;67,9605973026;37,3485651311;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;722,5793112151;62,9575420710;29,1608445591;480,5852889974;20,5122932006;18,6427683075;720,0901842583;60,4709369913;32,1539938519
1;CashierData_weekly;full;mean;None;;;0,8000000000;LSTM;0,0000000000;32;0,0100000000;0,0100000000;20;10;1;4;False;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;659,2380150424;29,2711767659;26,7951067952;704,6909666306;57,6791224813;27,5682402660
2;CashierData_weekly;full;mean;None;;;0,8000000000;LSTM;0,5000000000;8;0,0100000000;0,0100000000;20;5;1;1;True;1017,8168847927;45,8610728684;39,0585896323;996,4191595755;67,9605973026;37,3485651311;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;722,5793112151;62,9575420710;29,1608445591;579,5975838859;23,7662074420;22,8731025280;839,1131121016;90,5346364485;34,7392643581
