;dataset;featureset;imputation;dim_reduction;init_train_len;test_len;split_perc;algo;dropout_rate;batch_size;learning_rate;min_val_loss_improvement;max_epochs_wo_improvement;n_hidden;num_hidden_layer;one_step_ahead;RMSE_Train_RW;MAPE_Train_RW;sMAPE_Train_RW;RMSE_Test_RW;MAPE_Test_RW;sMAPE_Test_RW;RMSE_Train_seasRW;MAPE_Train_seasRW;sMAPE_Train_seasRW;RMSE_Test_seasRW;MAPE_Test_seasRW;sMAPE_Test_seasRW;RMSE_Train_HA;MAPE_Train_HA;sMAPE_Train_HA;RMSE_Test_HA;MAPE_Test_HA;sMAPE_Test_HA;RMSE_Train;MAPE_Train;sMAPE_Train;RMSE_Test;MAPE_Test;sMAPE_Test
0;OwnDoc;full;mean;None;;;0,8000000000;ANN;0,0000000000;4;0,0100000000;100;20;10;2;False;135,9676018826;22695,6056582287;77,7674942873;83,4730891556;25142,5591303285;63,8916620982;104,8591334801;7996,1211101599;49,9559105738;83,4730891556;25142,5591303285;63,8916620982;96,2825761246;20937,3762309210;52,2412133762;83,4730891556;25142,5591303285;63,8916620982;93,1740678391;6170,8579107998;64,4492459732;67,6087647562;16796,7376885258;65,6877878181
1;OwnDoc;full;mean;None;;;0,8000000000;ANN;0,0000000000;4;0,0100000000;1000;20;50;2;False;135,9676018826;22695,6056582287;77,7674942873;83,4730891556;25142,5591303285;63,8916620982;104,8591334801;7996,1211101599;49,9559105738;83,4730891556;25142,5591303285;63,8916620982;96,2825761246;20937,3762309210;52,2412133762;83,4730891556;25142,5591303285;63,8916620982;72,4296692616;5383,0101787132;52,9717621918;156,8459025226;25305,2078440574;87,2189854840
