;dataset;featureset;imputation;dim_reduction;init_train_len;test_len;split_perc;kernel;mean_function;noise_variance;optimizer;standardize_x;standardize_y;one_step_ahead;optim_mod_params;RMSE_Train_RW;MAPE_Train_RW;sMAPE_Train_RW;RMSE_Test_RW;MAPE_Test_RW;sMAPE_Test_RW;RMSE_Train_seasRW;MAPE_Train_seasRW;sMAPE_Train_seasRW;RMSE_Test_seasRW;MAPE_Test_seasRW;sMAPE_Test_seasRW;RMSE_Train_HA;MAPE_Train_HA;sMAPE_Train_HA;RMSE_Test_HA;MAPE_Test_HA;sMAPE_Test_HA;RMSE_Train;MAPE_Train;sMAPE_Train;RMSE_Test;MAPE_Test;sMAPE_Test
0;CashierData_weekly;full;mean;None;;;0,8000000000;"sumproduct----white_(<Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>,)----polynomial_(<Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>)----rational_quadratic_(<Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>)-";"constant-(<Parameter: dtype=float64, shape=[1], fn=""identity"", numpy=array([0.])>,)";10;gpflow_scipy;False;False;True;"(<Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=367.6471872081228>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=11.17917501512897>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=3.78795169179707e-269>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=0.9999581498553382>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.000005800693506>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.2507901590501214>, <Parameter: dtype=float64, shape=[], fn=""chain_of_shift_of_softplus"", numpy=10.588567843929528>, <Parameter: dtype=float64, shape=[1], fn=""identity"", numpy=array([1708.60537608])>)";1017,8168847927;45,8610728684;39,0585896323;996,4191595755;67,9605973026;37,3485651311;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;722,5793112151;62,9575420710;29,1608445591;716,6970517155;35,9209888370;30,9388474987;722,7968347574;63,0376688687;29,2204574595
1;Failure;full;mean;None;;;0,8000000000;"sum-matern52_(<Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>)--rational_quadratic_(<Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>)--periodic_(<Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=52.0>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>)-with_matern52_(<Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>)---";None;1;gpflow_scipy;True;False;False;failed;;;;;;;;;;;;;;;;;;;;;;;;
