;dataset;imputation;init_train_len;test_len;split_perc;trend;damped;seasonal;seasonal_periods;remove_bias;use_brute;one_step_ahead;power_transform;log;RMSE_Train_RW;MAPE_Train_RW;sMAPE_Train_RW;RMSE_Test_RW;MAPE_Test_RW;sMAPE_Test_RW;RMSE_Train_seasRW;MAPE_Train_seasRW;sMAPE_Train_seasRW;RMSE_Test_seasRW;MAPE_Test_seasRW;sMAPE_Test_seasRW;RMSE_Train_HA;MAPE_Train_HA;sMAPE_Train_HA;RMSE_Test_HA;MAPE_Test_HA;sMAPE_Test_HA;RMSE_Train;MAPE_Train;sMAPE_Train;RMSE_Test;MAPE_Test;sMAPE_Test
13;CashierData_weekly;mean;;;0,8000000000;;False;;52;False;False;False;False;False;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;716,6987970072;35,9216304390;30,9391103993;720,7670059912;63,0992008883;29,1741198601
14;CashierData_weekly;mean;;;0,8000000000;add;False;;52;False;False;False;False;True;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;758,8650597251;35,6537228112;32,2901868301;735,7706563453;59,2580515776;31,2551034365
15;CashierData_weekly;mean;;;0,8000000000;;False;;52;False;False;False;False;True;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;728,4813596836;32,0194802725;29,7569898552;725,1955333377;58,3632506756;29,4193987447
16;CashierData_weekly;mean;;;0,8000000000;add;False;;52;False;False;False;True;False;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;718,6363998918;32,8127730339;29,8040981754;719,3995652830;61,9830110857;29,0175409858
17;CashierData_weekly;mean;;;0,8000000000;;False;;52;False;False;False;True;False;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;729,7518289155;31,8398525608;29,7167061220;726,0841552500;58,1412196166;29,4602848558
18;CashierData_weekly;mean;;;0,8000000000;add;False;add;52;True;False;False;False;False;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;365,0952525292;18,1871130541;17,3882602979;672,6291872395;80,4647137062;29,2743515967
19;CashierData_weekly;mean;;;0,8000000000;;False;add;52;True;False;False;False;False;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;366,2213162030;18,4160149259;17,5496655321;625,5717623317;73,8478186076;28,6363136113
20;CashierData_weekly;mean;;;0,8000000000;add;False;add;52;True;False;False;False;True;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;364,9080128525;17,0554745250;16,7870525186;632,8084091047;73,0172792986;29,1283905811
21;CashierData_weekly;mean;;;0,8000000000;;False;add;52;True;False;False;False;True;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;370,3385164080;17,4320625731;17,1845880686;604,2483492500;68,9419604974;28,8028014366
22;CashierData_weekly;mean;;;0,8000000000;add;False;add;52;True;False;False;True;False;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;365,8029019771;16,9654478493;16,7400308150;603,9426951766;69,1410178320;28,7635520553
