;dataset;featureset;imputation;dim_reduction;init_train_len;test_len;split_perc;algo;normalize;alpha;l1_ratio;alpha_1;alpha_2;lambda_1;lambda_2;threshold_lambda;one_step_ahead;fitted_coef;fitted_intercept;RMSE_Train_RW;MAPE_Train_RW;sMAPE_Train_RW;RMSE_Test_RW;MAPE_Test_RW;sMAPE_Test_RW;RMSE_Train_seasRW;MAPE_Train_seasRW;sMAPE_Train_seasRW;RMSE_Test_seasRW;MAPE_Test_seasRW;sMAPE_Test_seasRW;RMSE_Train_HA;MAPE_Train_HA;sMAPE_Train_HA;RMSE_Test_HA;MAPE_Test_HA;sMAPE_Test_HA;RMSE_Train;MAPE_Train;sMAPE_Train;RMSE_Test;MAPE_Test;sMAPE_Test
0;OwnDoc;full;mean;None;;;0,8000000000;lasso;False;0,0000100000;;;;;;;False;"[-5.14481568e-02 -9.49022976e-02 -6.94430794e-02  1.84136341e-01
  7.01841148e-02 -6.64920558e-02  1.57352697e-01 -1.57653308e-01
 -5.00592939e-02  8.01651431e-02 -1.29039210e-01 -9.04269741e-03
  4.45511655e-02 -3.79564626e-02 -8.40311359e-02 -1.58589976e-01
 -3.98103114e-01 -1.45804039e-01 -4.77808725e-01 -3.23666409e-01
  7.98200596e-02  1.39924847e-02 -2.32058246e-01 -2.97494355e-01
 -8.95643214e-02 -1.37586354e-01 -1.05261762e-01  6.74290803e-02
 -1.32720472e-01 -1.33022534e-01  1.07938903e-01 -3.10506413e-02
 -8.16480349e-02  1.12755556e-01 -3.79977268e-02  7.07284432e-02
 -1.83050621e-01  1.34693683e-01 -1.10843207e-01  1.83149265e-02
 -1.84265326e-01  1.10615465e-01  5.75046746e-03 -1.06557816e-01
 -2.05814009e-02 -3.01254098e-02  2.08885666e-02 -1.16277723e-01
  5.13520361e+00 -6.78834022e+00  1.03666092e+00 -5.66397851e+00
  8.77273415e+00 -1.36797896e+01  5.43082070e+00  1.18264252e+00
 -1.24356356e+01  6.24347588e+00 -3.59972110e+00  2.46437344e+00
 -1.39142593e+00  9.53006567e+00 -1.20743942e+01 -3.94686577e-01
  8.84175146e-01  3.77511035e+00 -2.74488475e+00 -3.60868326e+00
  3.07745773e+00  4.38965472e+00 -6.60793938e+00 -6.70263837e+00
  2.05504270e-01 -1.44442805e-01 -1.41470725e-01  1.98400161e-01
  1.40002706e+00 -1.99705773e+00  2.27334382e-01 -6.96868505e-01
 -1.19954079e-02  5.85453130e-01  3.01441012e-02 -2.31380258e-02
  3.18934747e-01  1.38416129e+00  3.43745111e+00  1.84113991e+01
  6.49539093e+00 -3.45296950e+01  7.47036493e+00  1.38947727e+00
  4.29022307e+00  3.95286695e-02 -7.97750649e+00 -4.96991096e+00
  4.01690100e-02 -1.37811293e-01  1.02942358e-01 -1.57691544e-01
  1.34003835e-03  8.16384179e-02 -9.03322304e-02 -1.11654063e-01
 -4.45576896e-01  2.38471916e-01 -1.78988897e-01  5.45639119e-01
 -3.25029530e-01  2.59856851e+00 -3.45379114e+02 -3.25587312e-03
  2.96410558e+01 -1.10416929e+02 -2.53351506e+00 -0.00000000e+00
 -4.32537393e+00 -1.07186522e+01 -5.77852664e+01  6.41311408e+01
  7.77065116e+01 -7.09033994e-01 -2.09333569e-01 -1.88350083e-01
  0.00000000e+00 -9.44587767e+01 -4.12666467e+01  7.70503272e+01]";1171,1904369225;135,9676018826;22695,6056582287;77,7674942873;83,4730891556;25142,5591303285;63,8916620982;104,8591334801;7996,1211101599;49,9559105738;83,4730891556;25142,5591303285;63,8916620982;96,2825761246;20937,3762309210;52,2412133762;83,4730891556;25142,5591303285;63,8916620982;0,3127476224;30,2871940168;26,4590648054;174,9764609513;15045,7646548966;110,5621169169
1;OwnDoc;full;mean;None;;;0,8000000000;lasso;False;0,0000100000;;;;;;;True;"[-5.14481568e-02 -9.49022976e-02 -6.94430794e-02  1.84136341e-01
  7.01841148e-02 -6.64920558e-02  1.57352697e-01 -1.57653308e-01
 -5.00592939e-02  8.01651431e-02 -1.29039210e-01 -9.04269741e-03
  4.45511655e-02 -3.79564626e-02 -8.40311359e-02 -1.58589976e-01
 -3.98103114e-01 -1.45804039e-01 -4.77808725e-01 -3.23666409e-01
  7.98200596e-02  1.39924847e-02 -2.32058246e-01 -2.97494355e-01
 -8.95643214e-02 -1.37586354e-01 -1.05261762e-01  6.74290803e-02
 -1.32720472e-01 -1.33022534e-01  1.07938903e-01 -3.10506413e-02
 -8.16480349e-02  1.12755556e-01 -3.79977268e-02  7.07284432e-02
 -1.83050621e-01  1.34693683e-01 -1.10843207e-01  1.83149265e-02
 -1.84265326e-01  1.10615465e-01  5.75046746e-03 -1.06557816e-01
 -2.05814009e-02 -3.01254098e-02  2.08885666e-02 -1.16277723e-01
  5.13520361e+00 -6.78834022e+00  1.03666092e+00 -5.66397851e+00
  8.77273415e+00 -1.36797896e+01  5.43082070e+00  1.18264252e+00
 -1.24356356e+01  6.24347588e+00 -3.59972110e+00  2.46437344e+00
 -1.39142593e+00  9.53006567e+00 -1.20743942e+01 -3.94686577e-01
  8.84175146e-01  3.77511035e+00 -2.74488475e+00 -3.60868326e+00
  3.07745773e+00  4.38965472e+00 -6.60793938e+00 -6.70263837e+00
  2.05504270e-01 -1.44442805e-01 -1.41470725e-01  1.98400161e-01
  1.40002706e+00 -1.99705773e+00  2.27334382e-01 -6.96868505e-01
 -1.19954079e-02  5.85453130e-01  3.01441012e-02 -2.31380258e-02
  3.18934747e-01  1.38416129e+00  3.43745111e+00  1.84113991e+01
  6.49539093e+00 -3.45296950e+01  7.47036493e+00  1.38947727e+00
  4.29022307e+00  3.95286695e-02 -7.97750649e+00 -4.96991096e+00
  4.01690100e-02 -1.37811293e-01  1.02942358e-01 -1.57691544e-01
  1.34003835e-03  8.16384179e-02 -9.03322304e-02 -1.11654063e-01
 -4.45576896e-01  2.38471916e-01 -1.78988897e-01  5.45639119e-01
 -3.25029530e-01  2.59856851e+00 -3.45379114e+02 -3.25587312e-03
  2.96410558e+01 -1.10416929e+02 -2.53351506e+00 -0.00000000e+00
 -4.32537393e+00 -1.07186522e+01 -5.77852664e+01  6.41311408e+01
  7.77065116e+01 -7.09033994e-01 -2.09333569e-01 -1.88350083e-01
  0.00000000e+00 -9.44587767e+01 -4.12666467e+01  7.70503272e+01]";1171,1904369225;135,9676018826;22695,6056582287;77,7674942873;91,9623021082;24561,1931183161;86,0847734692;104,8591334801;7996,1211101599;49,9559105738;84,8664388828;16779,1169417778;68,4616626053;96,2825761246;20937,3762309210;52,2412133762;80,1516221136;24751,5139167768;62,6860708228;0,3127476224;30,2871940168;26,4590648054;234,2917668876;23238,8205376106;117,2813627367
2;OwnDoc;full;mean;None;;;0,8000000000;lasso;True;0,0000100000;;;;;;;False;"[-5.02613431e-02 -9.58755627e-02 -6.94420383e-02  1.83480310e-01
  6.91489972e-02 -6.62897106e-02  1.56241552e-01 -1.58161013e-01
 -5.04741175e-02  8.03259858e-02 -1.29986193e-01 -9.05331808e-03
  4.44547178e-02 -3.74019455e-02 -8.39316061e-02 -1.59987242e-01
 -3.97788507e-01 -1.43369993e-01 -4.77127949e-01 -3.22655565e-01
  7.89159839e-02  1.27297244e-02 -2.32601835e-01 -2.94257848e-01
 -8.77172358e-02 -1.35177019e-01 -1.08243540e-01  6.84918859e-02
 -1.32170141e-01 -1.34633304e-01  1.07895405e-01 -2.84349792e-02
 -8.22820176e-02  1.12649514e-01 -3.86284137e-02  7.05123929e-02
 -1.83447968e-01  1.35410849e-01 -1.10773664e-01  1.87919497e-02
 -1.85340638e-01  1.11252485e-01  5.84630836e-03 -1.07210419e-01
 -2.05697720e-02 -2.98903348e-02  2.09759234e-02 -1.15914257e-01
  5.12610060e+00 -6.88945242e+00  1.13292336e+00 -5.67150265e+00
  8.78963844e+00 -1.36918052e+01  5.46361583e+00  1.23052313e+00
 -1.24890230e+01  6.20321083e+00 -3.57052167e+00  2.39982742e+00
 -1.43741238e+00  9.60381390e+00 -1.21247362e+01 -5.59917944e-01
  8.39658795e-01  3.75407617e+00 -2.73397593e+00 -3.60534387e+00
  3.07188644e+00  4.45491557e+00 -6.64179050e+00 -6.73543505e+00
  2.08462620e-01 -1.45823440e-01 -1.40876966e-01  1.99527657e-01
  1.39999119e+00 -1.99608865e+00  2.26049845e-01 -6.97264285e-01
 -8.54868178e-03  5.84496903e-01  3.09143638e-02 -2.32448476e-02
  3.90347194e-01  1.40892572e+00  3.35815257e+00  1.87680843e+01
  6.38771784e+00 -3.46240120e+01  7.49074446e+00  1.40951239e+00
  4.32213890e+00  6.58379419e-02 -8.05757088e+00 -4.89409771e+00
  4.12494533e-02 -1.40445448e-01  1.05963930e-01 -1.62657489e-01
  1.98736214e-03  8.20925771e-02 -9.07328798e-02 -1.11358401e-01
 -4.50598758e-01  2.41153988e-01 -1.82828586e-01  5.47610130e-01
 -2.83125733e-01  2.55896760e+00 -3.46269980e+02 -1.52885217e-08
  3.05755639e+01 -1.11194856e+02 -2.58742441e+00 -5.07154864e-09
 -4.36276799e+00 -1.06908306e+01 -5.77446418e+01  6.42060497e+01
  7.82649701e+01 -7.10671501e-01 -2.10035622e-01 -1.88364952e-01
  0.00000000e+00 -9.46338491e+01 -4.15313860e+01  7.76604735e+01]";1174,5053084485;135,9676018826;22695,6056582287;77,7674942873;83,4730891556;25142,5591303285;63,8916620982;104,8591334801;7996,1211101599;49,9559105738;83,4730891556;25142,5591303285;63,8916620982;96,2825761246;20937,3762309210;52,2412133762;83,4730891556;25142,5591303285;63,8916620982;0,0708868620;6,0540865436;26,3489043287;174,5929602286;14943,2600560772;110,6065030155
3;OwnDoc;full;mean;None;;;0,8000000000;lasso;True;0,0000100000;;;;;;;True;"[-5.02613431e-02 -9.58755627e-02 -6.94420383e-02  1.83480310e-01
  6.91489972e-02 -6.62897106e-02  1.56241552e-01 -1.58161013e-01
 -5.04741175e-02  8.03259858e-02 -1.29986193e-01 -9.05331808e-03
  4.44547178e-02 -3.74019455e-02 -8.39316061e-02 -1.59987242e-01
 -3.97788507e-01 -1.43369993e-01 -4.77127949e-01 -3.22655565e-01
  7.89159839e-02  1.27297244e-02 -2.32601835e-01 -2.94257848e-01
 -8.77172358e-02 -1.35177019e-01 -1.08243540e-01  6.84918859e-02
 -1.32170141e-01 -1.34633304e-01  1.07895405e-01 -2.84349792e-02
 -8.22820176e-02  1.12649514e-01 -3.86284137e-02  7.05123929e-02
 -1.83447968e-01  1.35410849e-01 -1.10773664e-01  1.87919497e-02
 -1.85340638e-01  1.11252485e-01  5.84630836e-03 -1.07210419e-01
 -2.05697720e-02 -2.98903348e-02  2.09759234e-02 -1.15914257e-01
  5.12610060e+00 -6.88945242e+00  1.13292336e+00 -5.67150265e+00
  8.78963844e+00 -1.36918052e+01  5.46361583e+00  1.23052313e+00
 -1.24890230e+01  6.20321083e+00 -3.57052167e+00  2.39982742e+00
 -1.43741238e+00  9.60381390e+00 -1.21247362e+01 -5.59917944e-01
  8.39658795e-01  3.75407617e+00 -2.73397593e+00 -3.60534387e+00
  3.07188644e+00  4.45491557e+00 -6.64179050e+00 -6.73543505e+00
  2.08462620e-01 -1.45823440e-01 -1.40876966e-01  1.99527657e-01
  1.39999119e+00 -1.99608865e+00  2.26049845e-01 -6.97264285e-01
 -8.54868178e-03  5.84496903e-01  3.09143638e-02 -2.32448476e-02
  3.90347194e-01  1.40892572e+00  3.35815257e+00  1.87680843e+01
  6.38771784e+00 -3.46240120e+01  7.49074446e+00  1.40951239e+00
  4.32213890e+00  6.58379419e-02 -8.05757088e+00 -4.89409771e+00
  4.12494533e-02 -1.40445448e-01  1.05963930e-01 -1.62657489e-01
  1.98736214e-03  8.20925771e-02 -9.07328798e-02 -1.11358401e-01
 -4.50598758e-01  2.41153988e-01 -1.82828586e-01  5.47610130e-01
 -2.83125733e-01  2.55896760e+00 -3.46269980e+02 -1.52885217e-08
  3.05755639e+01 -1.11194856e+02 -2.58742441e+00 -5.07154864e-09
 -4.36276799e+00 -1.06908306e+01 -5.77446418e+01  6.42060497e+01
  7.82649701e+01 -7.10671501e-01 -2.10035622e-01 -1.88364952e-01
  0.00000000e+00 -9.46338491e+01 -4.15313860e+01  7.76604735e+01]";1174,5053084485;135,9676018826;22695,6056582287;77,7674942873;91,9623021082;24561,1931183161;86,0847734692;104,8591334801;7996,1211101599;49,9559105738;84,8664388828;16779,1169417778;68,4616626053;96,2825761246;20937,3762309210;52,2412133762;80,1516221136;24751,5139167768;62,6860708228;0,0708868620;6,0540865436;26,3489043287;234,0675361925;23116,8428112799;117,2489130963
4;OwnDoc;full;mean;None;;;0,8000000000;lasso;False;0,0001000000;;;;;;;False;"[-5.16393866e-02 -9.48175240e-02 -6.94043700e-02  1.84202597e-01
  7.02940710e-02 -6.65979719e-02  1.57483006e-01 -1.57493201e-01
 -4.99746648e-02  8.02024133e-02 -1.28855530e-01 -9.05879268e-03
  4.45473981e-02 -3.80834079e-02 -8.39928856e-02 -1.58346462e-01
 -3.98040424e-01 -1.46077014e-01 -4.77930168e-01 -3.23769649e-01
  7.99490673e-02  1.40450171e-02 -2.32015803e-01 -2.98043245e-01
 -8.97769939e-02 -1.37982185e-01 -1.04884505e-01  6.72455639e-02
 -1.32833634e-01 -1.32822206e-01  1.07833022e-01 -3.15532333e-02
 -8.15405076e-02  1.12749229e-01 -3.79143156e-02  7.07785360e-02
 -1.82987066e-01  1.34508346e-01 -1.10815327e-01  1.82278559e-02
 -1.84110168e-01  1.10509893e-01  5.73202921e-03 -1.06525491e-01
 -2.05790859e-02 -3.01487572e-02  2.08582655e-02 -1.16255347e-01
  5.13757041e+00 -6.77303043e+00  1.02424963e+00 -5.66178508e+00
  8.77461893e+00 -1.36811426e+01  5.42849782e+00  1.17640350e+00
 -1.24261717e+01  6.24959866e+00 -3.60161763e+00  2.47200879e+00
 -1.38965878e+00  9.51976118e+00 -1.20666850e+01 -3.72053217e-01
  8.89690035e-01  3.77709779e+00 -2.74765692e+00 -3.60773099e+00
  3.07733003e+00  4.37931809e+00 -6.60118435e+00 -6.69855790e+00
  2.05171621e-01 -1.44162902e-01 -1.41589752e-01  1.97961695e-01
  1.39949248e+00 -1.99726208e+00  2.27691927e-01 -6.96918675e-01
 -1.24038751e-02  5.85710622e-01  3.01206004e-02 -2.31278986e-02
  3.11632066e-01  1.37937049e+00  3.44790139e+00  1.83475266e+01
  6.49794137e+00 -3.44993922e+01  7.46725230e+00  1.38503060e+00
  4.28716537e+00  3.61253740e-02 -7.96763976e+00 -4.97859734e+00
  4.00914812e-02 -1.37344777e-01  1.02428103e-01 -1.56836548e-01
  1.25643996e-03  8.15400630e-02 -9.02463557e-02 -1.11670243e-01
 -4.44823408e-01  2.38162051e-01 -1.78576903e-01  5.45462449e-01
 -3.29301848e-01  2.60389052e+00 -3.44450138e+02 -3.16283486e-02
  2.94420143e+01 -1.10296071e+02 -2.52605398e+00 -0.00000000e+00
 -4.32127573e+00 -1.07250882e+01 -5.77814158e+01  6.40244300e+01
  7.75910971e+01 -7.08705930e-01 -2.09038378e-01 -1.88702932e-01
  0.00000000e+00 -9.43721122e+01 -4.11236560e+01  7.69511903e+01]";1170,8199185324;135,9676018826;22695,6056582287;77,7674942873;83,4730891556;25142,5591303285;63,8916620982;104,8591334801;7996,1211101599;49,9559105738;83,4730891556;25142,5591303285;63,8916620982;96,2825761246;20937,3762309210;52,2412133762;83,4730891556;25142,5591303285;63,8916620982;0,3485155241;34,0236824943;26,4751266549;175,0073012548;15061,7626966755;110,5518363502
5;OwnDoc;full;mean;None;;;0,8000000000;lasso;False;0,0001000000;;;;;;;True;"[-5.16393866e-02 -9.48175240e-02 -6.94043700e-02  1.84202597e-01
  7.02940710e-02 -6.65979719e-02  1.57483006e-01 -1.57493201e-01
 -4.99746648e-02  8.02024133e-02 -1.28855530e-01 -9.05879268e-03
  4.45473981e-02 -3.80834079e-02 -8.39928856e-02 -1.58346462e-01
 -3.98040424e-01 -1.46077014e-01 -4.77930168e-01 -3.23769649e-01
  7.99490673e-02  1.40450171e-02 -2.32015803e-01 -2.98043245e-01
 -8.97769939e-02 -1.37982185e-01 -1.04884505e-01  6.72455639e-02
 -1.32833634e-01 -1.32822206e-01  1.07833022e-01 -3.15532333e-02
 -8.15405076e-02  1.12749229e-01 -3.79143156e-02  7.07785360e-02
 -1.82987066e-01  1.34508346e-01 -1.10815327e-01  1.82278559e-02
 -1.84110168e-01  1.10509893e-01  5.73202921e-03 -1.06525491e-01
 -2.05790859e-02 -3.01487572e-02  2.08582655e-02 -1.16255347e-01
  5.13757041e+00 -6.77303043e+00  1.02424963e+00 -5.66178508e+00
  8.77461893e+00 -1.36811426e+01  5.42849782e+00  1.17640350e+00
 -1.24261717e+01  6.24959866e+00 -3.60161763e+00  2.47200879e+00
 -1.38965878e+00  9.51976118e+00 -1.20666850e+01 -3.72053217e-01
  8.89690035e-01  3.77709779e+00 -2.74765692e+00 -3.60773099e+00
  3.07733003e+00  4.37931809e+00 -6.60118435e+00 -6.69855790e+00
  2.05171621e-01 -1.44162902e-01 -1.41589752e-01  1.97961695e-01
  1.39949248e+00 -1.99726208e+00  2.27691927e-01 -6.96918675e-01
 -1.24038751e-02  5.85710622e-01  3.01206004e-02 -2.31278986e-02
  3.11632066e-01  1.37937049e+00  3.44790139e+00  1.83475266e+01
  6.49794137e+00 -3.44993922e+01  7.46725230e+00  1.38503060e+00
  4.28716537e+00  3.61253740e-02 -7.96763976e+00 -4.97859734e+00
  4.00914812e-02 -1.37344777e-01  1.02428103e-01 -1.56836548e-01
  1.25643996e-03  8.15400630e-02 -9.02463557e-02 -1.11670243e-01
 -4.44823408e-01  2.38162051e-01 -1.78576903e-01  5.45462449e-01
 -3.29301848e-01  2.60389052e+00 -3.44450138e+02 -3.16283486e-02
  2.94420143e+01 -1.10296071e+02 -2.52605398e+00 -0.00000000e+00
 -4.32127573e+00 -1.07250882e+01 -5.77814158e+01  6.40244300e+01
  7.75910971e+01 -7.08705930e-01 -2.09038378e-01 -1.88702932e-01
  0.00000000e+00 -9.43721122e+01 -4.11236560e+01  7.69511903e+01]";1170,8199185324;135,9676018826;22695,6056582287;77,7674942873;91,9623021082;24561,1931183161;86,0847734692;104,8591334801;7996,1211101599;49,9559105738;84,8664388828;16779,1169417778;68,4616626053;96,2825761246;20937,3762309210;52,2412133762;80,1516221136;24751,5139167768;62,6860708228;0,3485155241;34,0236824943;26,4751266549;234,3606486394;23346,7476516524;117,2710864318
6;OwnDoc;full;mean;None;;;0,8000000000;lasso;True;0,0001000000;;;;;;;False;"[-2.64331507e-02 -7.46270091e-02 -6.53493541e-02  1.28697331e-01
  6.49687028e-02 -5.76983162e-02  1.24595733e-01 -9.11335468e-02
 -7.42068723e-04  7.60169725e-02 -1.40957918e-01 -1.15245352e-03
 -4.71076088e-03 -2.75873824e-02 -7.18968041e-02 -1.36890315e-01
 -3.67800602e-01 -3.16898080e-02 -4.27632781e-01 -2.90878814e-01
  7.14564320e-02 -0.00000000e+00 -1.42760049e-01 -2.17230409e-01
 -4.36562522e-02 -3.14728478e-02  1.17626596e-02  4.25787074e-02
 -9.95571680e-02 -1.76101834e-01  2.56949267e-02 -2.37964747e-02
 -8.45283672e-02  6.53804017e-02 -7.79509042e-02  6.33862823e-02
 -2.01902317e-01  1.07483571e-01 -1.32357644e-01  7.87060501e-03
 -1.84285150e-01  5.07301742e-02 -6.37664472e-03 -1.44853102e-01
  0.00000000e+00 -4.77866132e-02 -1.20758668e-02 -8.68428753e-02
  6.47378192e+00 -7.50605566e+00  2.43374293e+00 -3.33479997e+00
  1.01386517e+01 -1.34200296e+01  4.35164416e+00  9.53772329e-01
 -1.41611284e+01  4.35927117e+00 -2.39614311e+00  7.69146984e-01
 -1.90535662e-02  9.36991875e+00 -1.17706255e+01 -1.66990521e+00
 -0.00000000e+00  2.80008922e+00 -1.80739573e+00 -2.93447616e+00
  2.27684579e+00  4.08528895e+00 -6.97155019e+00 -6.41224018e+00
  1.90974296e-01 -1.31922797e-01 -1.23018112e-02  2.35513454e-02
  6.26824634e-01 -1.95801530e+00  2.19587665e-01 -5.72089401e-01
 -0.00000000e+00  6.22616336e-01  9.91707360e-03  0.00000000e+00
  0.00000000e+00  6.77128551e-01  3.73448821e+00  1.78413098e+01
  3.05801538e+00 -3.45953741e+01  9.04241255e+00  2.53737373e+00
  3.71440249e+00  2.59390678e-01 -7.34487708e+00 -2.76739302e+00
  1.65072018e-02 -3.86295400e-02  2.56052594e-02 -5.70243760e-02
  0.00000000e+00  1.04989831e-01 -7.11737705e-02 -1.37078462e-01
 -5.24840397e-01  2.12088299e-01 -2.13256141e-01  6.22134221e-01
  1.99676766e-01  1.89863049e+00 -3.50328608e+02 -2.66937502e-08
  3.68705395e+01 -1.04018760e+02 -2.86710747e+00 -8.40243491e-09
 -5.12282690e+00 -1.03783248e+01 -7.29331337e+01  5.62751742e+01
  8.33786156e+01 -7.14613573e-01 -2.20692736e-01 -3.53119888e-01
  0.00000000e+00 -9.27515361e+01 -1.67947475e+01  9.82906321e+01]";1259,4667351228;135,9676018826;22695,6056582287;77,7674942873;83,4730891556;25142,5591303285;63,8916620982;104,8591334801;7996,1211101599;49,9559105738;83,4730891556;25142,5591303285;63,8916620982;96,2825761246;20937,3762309210;52,2412133762;83,4730891556;25142,5591303285;63,8916620982;0,0431312871;4,4737274945;26,3352369508;168,2175174594;14405,1951607247;115,1587771828
