;dataset;featureset;imputation;dim_reduction;init_train_len;test_len;split_perc;kernel;mean_function;noise_variance;optimizer;standardize_x;standardize_y;one_step_ahead;optim_mod_params;RMSE_Train_RW;MAPE_Train_RW;sMAPE_Train_RW;RMSE_Test_RW;MAPE_Test_RW;sMAPE_Test_RW;RMSE_Train_seasRW;MAPE_Train_seasRW;sMAPE_Train_seasRW;RMSE_Test_seasRW;MAPE_Test_seasRW;sMAPE_Test_seasRW;RMSE_Train_HA;MAPE_Train_HA;sMAPE_Train_HA;RMSE_Test_HA;MAPE_Test_HA;sMAPE_Test_HA;RMSE_Train;MAPE_Train;sMAPE_Train;RMSE_Test;MAPE_Test;sMAPE_Test
0;Failure;full;mean;None;;;0,8000000000;"sum-matern52_(<Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>)--rational_quadratic_(<Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>)--periodic_(<Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=7.0>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>)-with_rational_quadratic_(<Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>)---";"constant-(<Parameter: dtype=float64, shape=[1], fn=""identity"", numpy=array([0.])>,)";10;gpflow_scipy;True;False;False;failed;;;;;;;;;;;;;;;;;;;;;;;;
1;OwnDoc;full;mean;None;;;0,8000000000;"sum-polynomial_(<Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>)--periodic_(<Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=7.0>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>)-with_squared_exponential_(<Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>)----periodic_(<Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=7.0>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>)-with_matern52_(<Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>)---";None;1;gpflow_scipy;True;True;False;"(<Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=3.448506407056067e-05>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.486807580875403e-14>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=0.0016137949503235165>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=0.15034509086684766>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=6.054024052798235e-08>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=2.7948646168459024>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=2.4529301457074064>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=0.9986965715878661>, <Parameter: dtype=float64, shape=[], fn=""chain_of_shift_of_softplus"", numpy=1.0000000004957328e-06>)";135,9676018826;22695,6056582287;77,7674942873;83,4730891556;25142,5591303285;63,8916620982;104,8591334801;7996,1211101599;49,9559105738;83,4730891556;25142,5591303285;63,8916620982;96,2825761246;20937,3762309210;52,2412133762;83,4730891556;25142,5591303285;63,8916620982;0,0000963568;0,0209672759;26,3158183894;83,4730891556;25142,5591303283;63,8916620982
2;OwnDoc;full;mean;None;;;0,8000000000;"product-squared_exponential_(<Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>)--matern52_(<Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>)--white_(<Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>,)-";"constant-(<Parameter: dtype=float64, shape=[1], fn=""identity"", numpy=array([0.])>,)";0.01;gpflow_scipy;False;True;False;"(<Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=0.9966556880818465>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=1.0>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=0.9966556880818466>, <Parameter: dtype=float64, shape=[], fn=""softplus"", numpy=0.9966556880818466>, <Parameter: dtype=float64, shape=[], fn=""chain_of_shift_of_softplus"", numpy=0.009999170721330972>, <Parameter: dtype=float64, shape=[1], fn=""identity"", numpy=array([-2.61090199e-10])>)";135,9676018826;22695,6056582287;77,7674942873;83,4730891556;25142,5591303285;63,8916620982;104,8591334801;7996,1211101599;49,9559105738;83,4730891556;25142,5591303285;63,8916620982;96,2825761246;20937,3762309210;52,2412133762;83,4730891556;25142,5591303285;63,8916620982;96,2825761246;20937,3762276137;52,2412133812;83,4730891388;25142,5591263493;63,8916620974
