;dataset;featureset;imputation;dim_reduction;init_train_len;test_len;split_perc;algo;normalize;alpha;l1_ratio;alpha_1;alpha_2;lambda_1;lambda_2;threshold_lambda;one_step_ahead;fitted_coef;fitted_intercept;RMSE_Train_RW;MAPE_Train_RW;sMAPE_Train_RW;RMSE_Test_RW;MAPE_Test_RW;sMAPE_Test_RW;RMSE_Train_seasRW;MAPE_Train_seasRW;sMAPE_Train_seasRW;RMSE_Test_seasRW;MAPE_Test_seasRW;sMAPE_Test_seasRW;RMSE_Train_HA;MAPE_Train_HA;sMAPE_Train_HA;RMSE_Test_HA;MAPE_Test_HA;sMAPE_Test_HA;RMSE_Train;MAPE_Train;sMAPE_Train;RMSE_Test;MAPE_Test;sMAPE_Test
0;CashierData_weekly;full;mean;None;;;0,8000000000;lasso;False;0,0000100000;;;;;;;False;"[-7.72382257e-01  9.47359941e-03 -3.74956554e-01 -4.35315454e-01
 -5.10740561e-01 -4.97635218e-01 -6.33325275e-01 -2.97444417e-03
 -3.18032934e-01  1.64236838e-01 -3.80891517e-01  1.34523096e-01
  1.19280746e+00 -1.69366019e-01  9.12298250e-01 -3.26022812e-01
 -1.57785668e+00  8.49417608e-01 -1.06133106e+00 -1.03083589e+00
 -1.43182285e+00 -1.47299942e+00 -1.52763722e+00  2.76577670e-01
  7.53095412e+00 -5.76444386e+00  5.54232038e-01 -1.47897328e+01
 -6.55542974e+00 -5.19386324e+00 -4.63875206e+00  4.90726950e+00
 -1.56484250e-01  6.68037443e-02 -1.15725921e-02 -1.06770955e+00
  7.41831209e-01 -4.60726007e-01  9.30883503e-01  3.25867220e-01
 -7.09304722e+00  8.52138626e+01 -5.23695834e+01  4.60546748e+01
 -4.18000562e+01 -1.62634566e+02 -3.65261803e+02 -3.78579190e+02
  5.90191476e+01 -2.16624111e+01  3.78363291e+01 -1.44087645e+00
 -9.57753245e-01  2.72701712e+00  1.59380790e+00 -2.10264959e+00
 -1.02293048e+00 -7.68952178e-01 -1.40373808e+00  1.51440933e+00
  4.13140150e+00 -1.13065607e+00  1.19621918e+00 -3.47014956e+00
 -1.50598738e+01  1.65692924e+01  2.81877952e+01 -5.12310743e+01
  2.66220263e+00 -5.54133584e+00 -1.63856663e+00  9.13388039e-01
 -6.62974198e+01  1.59363735e+01 -7.86436799e+01  2.75354204e+01
 -2.19568952e+02  8.04755881e+02  5.05651426e+02  8.87851658e+01
  1.76388699e+02  2.13556672e+01 -3.10584533e+02  2.99775274e+02
  8.00967293e+00 -6.87938125e+00 -5.18722226e-01 -3.68466493e+00
 -1.12993029e+01  4.79093807e+00  5.72058202e+00 -6.60440917e+00
  1.10994375e+01 -4.68965223e+00 -6.08746806e+00  6.95176070e+00
 -2.69962008e+00  1.66684781e+00  1.91623339e+00 -1.61119088e+00
 -2.65135172e+02  1.27160167e+02  1.30094156e+02 -1.37887780e+02
 -1.24912574e-01 -0.00000000e+00 -4.42717705e-02 -9.31397713e-02
  1.91255768e+00  0.00000000e+00  5.43578975e-02  7.24372372e-01
  1.17437594e+00  3.52181881e-16 -5.29937377e-02 -3.11390463e-01
 -2.14207771e+01 -3.21625457e-11 -7.65834628e-01 -4.79115936e+00
  1.77711690e+00  2.81893763e-13 -1.10784166e-02 -2.40323637e-02
  3.22859760e+01  9.78643472e-15  2.00135586e+00  8.53580831e+01
 -6.65435948e+02 -3.26917456e-10 -6.82289482e+00 -1.58164361e+01
  2.01648151e+01  0.00000000e+00 -5.87419267e+00 -6.45737151e+01
 -1.88506529e-01 -0.00000000e+00  7.25131682e-01  1.59024618e+00
  8.14618127e-01  5.35786003e-13  2.87843585e-01  1.45862214e+00
  8.50765763e-01  0.00000000e+00  1.67971669e-02  3.18944477e-02
 -3.19621446e-01 -5.46883806e-13 -8.21601226e-02 -1.16307789e+00
  2.43509840e+01  2.35840651e-11 -2.29929939e+00 -1.03513484e+01
  6.05772173e+01  1.34039588e+01  2.79366318e+02  8.59858724e-01
  1.43008961e+03  2.71839017e+01  0.00000000e+00 -8.24864599e+00
  2.31575926e+01  2.76334291e+02 -9.76899180e+02  1.62741238e+03
 -4.18486398e+00 -6.00014611e+00 -5.28010105e+00 -5.12865034e+00
  3.70461143e+03  1.30211192e+02  7.83666736e+02 -1.05142896e+03
 -2.34320665e+02  1.75841372e+03  4.35147040e+01]";842,6614131490;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;173,6277385727;9,1828023402;8,9543948403;1332,3678272171;121,7383997831;75,8293315521
1;CashierData_weekly;full;mean;None;;;0,8000000000;lasso;False;0,0000100000;;;;;;;True;"[-7.72382257e-01  9.47359941e-03 -3.74956554e-01 -4.35315454e-01
 -5.10740561e-01 -4.97635218e-01 -6.33325275e-01 -2.97444417e-03
 -3.18032934e-01  1.64236838e-01 -3.80891517e-01  1.34523096e-01
  1.19280746e+00 -1.69366019e-01  9.12298250e-01 -3.26022812e-01
 -1.57785668e+00  8.49417608e-01 -1.06133106e+00 -1.03083589e+00
 -1.43182285e+00 -1.47299942e+00 -1.52763722e+00  2.76577670e-01
  7.53095412e+00 -5.76444386e+00  5.54232038e-01 -1.47897328e+01
 -6.55542974e+00 -5.19386324e+00 -4.63875206e+00  4.90726950e+00
 -1.56484250e-01  6.68037443e-02 -1.15725921e-02 -1.06770955e+00
  7.41831209e-01 -4.60726007e-01  9.30883503e-01  3.25867220e-01
 -7.09304722e+00  8.52138626e+01 -5.23695834e+01  4.60546748e+01
 -4.18000562e+01 -1.62634566e+02 -3.65261803e+02 -3.78579190e+02
  5.90191476e+01 -2.16624111e+01  3.78363291e+01 -1.44087645e+00
 -9.57753245e-01  2.72701712e+00  1.59380790e+00 -2.10264959e+00
 -1.02293048e+00 -7.68952178e-01 -1.40373808e+00  1.51440933e+00
  4.13140150e+00 -1.13065607e+00  1.19621918e+00 -3.47014956e+00
 -1.50598738e+01  1.65692924e+01  2.81877952e+01 -5.12310743e+01
  2.66220263e+00 -5.54133584e+00 -1.63856663e+00  9.13388039e-01
 -6.62974198e+01  1.59363735e+01 -7.86436799e+01  2.75354204e+01
 -2.19568952e+02  8.04755881e+02  5.05651426e+02  8.87851658e+01
  1.76388699e+02  2.13556672e+01 -3.10584533e+02  2.99775274e+02
  8.00967293e+00 -6.87938125e+00 -5.18722226e-01 -3.68466493e+00
 -1.12993029e+01  4.79093807e+00  5.72058202e+00 -6.60440917e+00
  1.10994375e+01 -4.68965223e+00 -6.08746806e+00  6.95176070e+00
 -2.69962008e+00  1.66684781e+00  1.91623339e+00 -1.61119088e+00
 -2.65135172e+02  1.27160167e+02  1.30094156e+02 -1.37887780e+02
 -1.24912574e-01 -0.00000000e+00 -4.42717705e-02 -9.31397713e-02
  1.91255768e+00  0.00000000e+00  5.43578975e-02  7.24372372e-01
  1.17437594e+00  3.52181881e-16 -5.29937377e-02 -3.11390463e-01
 -2.14207771e+01 -3.21625457e-11 -7.65834628e-01 -4.79115936e+00
  1.77711690e+00  2.81893763e-13 -1.10784166e-02 -2.40323637e-02
  3.22859760e+01  9.78643472e-15  2.00135586e+00  8.53580831e+01
 -6.65435948e+02 -3.26917456e-10 -6.82289482e+00 -1.58164361e+01
  2.01648151e+01  0.00000000e+00 -5.87419267e+00 -6.45737151e+01
 -1.88506529e-01 -0.00000000e+00  7.25131682e-01  1.59024618e+00
  8.14618127e-01  5.35786003e-13  2.87843585e-01  1.45862214e+00
  8.50765763e-01  0.00000000e+00  1.67971669e-02  3.18944477e-02
 -3.19621446e-01 -5.46883806e-13 -8.21601226e-02 -1.16307789e+00
  2.43509840e+01  2.35840651e-11 -2.29929939e+00 -1.03513484e+01
  6.05772173e+01  1.34039588e+01  2.79366318e+02  8.59858724e-01
  1.43008961e+03  2.71839017e+01  0.00000000e+00 -8.24864599e+00
  2.31575926e+01  2.76334291e+02 -9.76899180e+02  1.62741238e+03
 -4.18486398e+00 -6.00014611e+00 -5.28010105e+00 -5.12865034e+00
  3.70461143e+03  1.30211192e+02  7.83666736e+02 -1.05142896e+03
 -2.34320665e+02  1.75841372e+03  4.35147040e+01]";842,6614131490;1017,8168847927;45,8610728684;39,0585896323;996,4191595755;67,9605973026;37,3485651311;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;722,5793112151;62,9575420710;29,1608445591;173,6277385727;9,1828023402;8,9543948403;1075,9163667351;98,0311895586;53,9770993573
2;CashierData_weekly;full;mean;None;;;0,8000000000;lasso;True;0,0000100000;;;;;;;False;"[-7.71454292e-01  9.52494822e-03 -3.74002903e-01 -4.34593584e-01
 -5.10344943e-01 -4.96925349e-01 -6.32902053e-01 -2.91302934e-03
 -3.17698206e-01  1.64095124e-01 -3.80578495e-01  1.32849259e-01
  1.19183173e+00 -1.71074564e-01  9.11520296e-01 -3.25868312e-01
 -1.57488030e+00  8.49578493e-01 -1.05850241e+00 -1.02859599e+00
 -1.42885749e+00 -1.47054528e+00 -1.52460748e+00  2.76290010e-01
  7.50033856e+00 -5.76182288e+00  5.22381028e-01 -1.47801767e+01
 -6.56278184e+00 -5.18646461e+00 -4.64647867e+00  4.90438326e+00
 -1.56588390e-01  6.70374628e-02 -1.17035204e-02 -1.06679072e+00
  7.41110023e-01 -4.59736279e-01  9.29987083e-01  3.25748012e-01
 -7.10114310e+00  8.52234540e+01 -5.24319292e+01  4.59551525e+01
 -4.12917766e+01 -1.62098985e+02 -3.64936856e+02 -3.78234192e+02
  5.88771811e+01 -2.17650279e+01  3.78665102e+01 -1.40399438e+00
 -9.55977035e-01  2.72519249e+00  1.59207151e+00 -2.10057034e+00
 -1.01955279e+00 -7.68605903e-01 -1.40373715e+00  1.51413888e+00
  4.11917608e+00 -1.12998097e+00  1.19606468e+00 -3.46970621e+00
 -1.49688489e+01  1.65360623e+01  2.81585431e+01 -5.11998531e+01
  2.66213889e+00 -5.53980353e+00 -1.63632652e+00  9.10640271e-01
 -6.58249971e+01  1.58217301e+01 -7.87248585e+01  2.76421300e+01
 -2.19451351e+02  8.04101960e+02  5.04938437e+02  8.95817280e+01
  1.75892736e+02  2.16027342e+01 -3.10437462e+02  2.99568845e+02
  8.00837487e+00 -6.88032021e+00 -5.17165061e-01 -3.68680917e+00
 -1.12902302e+01  4.78741522e+00  5.71583528e+00 -6.59766161e+00
  1.10940480e+01 -4.68723430e+00 -6.08473430e+00  6.94865739e+00
 -2.69757706e+00  1.66584022e+00  1.91449054e+00 -1.60882517e+00
 -2.65042299e+02  1.27121981e+02  1.30046751e+02 -1.37828523e+02
 -1.26712288e-01 -0.00000000e+00 -4.35141138e-02 -9.36916552e-02
  1.90993751e+00  8.19626773e-13  5.44402613e-02  7.24535349e-01
  1.16959603e+00  7.80208109e-16 -4.84944878e-02 -3.14267004e-01
 -2.13624262e+01 -9.57662516e-12 -7.73129865e-01 -4.78677775e+00
  1.77336180e+00  1.08156178e-13 -8.65543927e-03 -2.58357009e-02
  3.21865928e+01  1.23948763e-12  1.96779018e+00  8.53834377e+01
 -6.65814090e+02 -3.24408168e-10 -6.86088930e+00 -1.58030318e+01
  2.02346533e+01  0.00000000e+00 -5.64190898e+00 -6.47434739e+01
 -1.87906698e-01 -8.09259150e-18  7.22790263e-01  1.59159368e+00
  8.10031743e-01  1.03670073e-13  2.87660599e-01  1.45800991e+00
  8.49227622e-01  4.21132897e-14  1.71107508e-02  3.17597884e-02
 -3.15851238e-01 -6.73833315e-13 -8.22058908e-02 -1.16283133e+00
  2.42583216e+01  7.11722645e-12 -2.22837700e+00 -1.04019848e+01
  6.05798873e+01  1.34062210e+01  3.00196930e+02  3.08857082e-06
  1.42994267e+03  2.71663409e+01  0.00000000e+00 -8.78141567e+00
  2.31581007e+01  2.76287293e+02 -9.76755209e+02  1.62719010e+03
 -4.18555550e+00 -5.99670800e+00 -5.27819538e+00 -5.13301409e+00
  3.70274583e+03  1.28688303e+02  7.82287183e+02 -1.05310992e+03
 -2.35625682e+02  1.75661731e+03  4.21014079e+01]";844,0233611024;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;173,6401622260;9,1832690309;8,9547721095;1332,2470634175;121,7354715489;75,8213963112
3;CashierData_weekly;full;mean;None;;;0,8000000000;lasso;True;0,0000100000;;;;;;;True;"[-7.71454292e-01  9.52494822e-03 -3.74002903e-01 -4.34593584e-01
 -5.10344943e-01 -4.96925349e-01 -6.32902053e-01 -2.91302934e-03
 -3.17698206e-01  1.64095124e-01 -3.80578495e-01  1.32849259e-01
  1.19183173e+00 -1.71074564e-01  9.11520296e-01 -3.25868312e-01
 -1.57488030e+00  8.49578493e-01 -1.05850241e+00 -1.02859599e+00
 -1.42885749e+00 -1.47054528e+00 -1.52460748e+00  2.76290010e-01
  7.50033856e+00 -5.76182288e+00  5.22381028e-01 -1.47801767e+01
 -6.56278184e+00 -5.18646461e+00 -4.64647867e+00  4.90438326e+00
 -1.56588390e-01  6.70374628e-02 -1.17035204e-02 -1.06679072e+00
  7.41110023e-01 -4.59736279e-01  9.29987083e-01  3.25748012e-01
 -7.10114310e+00  8.52234540e+01 -5.24319292e+01  4.59551525e+01
 -4.12917766e+01 -1.62098985e+02 -3.64936856e+02 -3.78234192e+02
  5.88771811e+01 -2.17650279e+01  3.78665102e+01 -1.40399438e+00
 -9.55977035e-01  2.72519249e+00  1.59207151e+00 -2.10057034e+00
 -1.01955279e+00 -7.68605903e-01 -1.40373715e+00  1.51413888e+00
  4.11917608e+00 -1.12998097e+00  1.19606468e+00 -3.46970621e+00
 -1.49688489e+01  1.65360623e+01  2.81585431e+01 -5.11998531e+01
  2.66213889e+00 -5.53980353e+00 -1.63632652e+00  9.10640271e-01
 -6.58249971e+01  1.58217301e+01 -7.87248585e+01  2.76421300e+01
 -2.19451351e+02  8.04101960e+02  5.04938437e+02  8.95817280e+01
  1.75892736e+02  2.16027342e+01 -3.10437462e+02  2.99568845e+02
  8.00837487e+00 -6.88032021e+00 -5.17165061e-01 -3.68680917e+00
 -1.12902302e+01  4.78741522e+00  5.71583528e+00 -6.59766161e+00
  1.10940480e+01 -4.68723430e+00 -6.08473430e+00  6.94865739e+00
 -2.69757706e+00  1.66584022e+00  1.91449054e+00 -1.60882517e+00
 -2.65042299e+02  1.27121981e+02  1.30046751e+02 -1.37828523e+02
 -1.26712288e-01 -0.00000000e+00 -4.35141138e-02 -9.36916552e-02
  1.90993751e+00  8.19626773e-13  5.44402613e-02  7.24535349e-01
  1.16959603e+00  7.80208109e-16 -4.84944878e-02 -3.14267004e-01
 -2.13624262e+01 -9.57662516e-12 -7.73129865e-01 -4.78677775e+00
  1.77336180e+00  1.08156178e-13 -8.65543927e-03 -2.58357009e-02
  3.21865928e+01  1.23948763e-12  1.96779018e+00  8.53834377e+01
 -6.65814090e+02 -3.24408168e-10 -6.86088930e+00 -1.58030318e+01
  2.02346533e+01  0.00000000e+00 -5.64190898e+00 -6.47434739e+01
 -1.87906698e-01 -8.09259150e-18  7.22790263e-01  1.59159368e+00
  8.10031743e-01  1.03670073e-13  2.87660599e-01  1.45800991e+00
  8.49227622e-01  4.21132897e-14  1.71107508e-02  3.17597884e-02
 -3.15851238e-01 -6.73833315e-13 -8.22058908e-02 -1.16283133e+00
  2.42583216e+01  7.11722645e-12 -2.22837700e+00 -1.04019848e+01
  6.05798873e+01  1.34062210e+01  3.00196930e+02  3.08857082e-06
  1.42994267e+03  2.71663409e+01  0.00000000e+00 -8.78141567e+00
  2.31581007e+01  2.76287293e+02 -9.76755209e+02  1.62719010e+03
 -4.18555550e+00 -5.99670800e+00 -5.27819538e+00 -5.13301409e+00
  3.70274583e+03  1.28688303e+02  7.82287183e+02 -1.05310992e+03
 -2.35625682e+02  1.75661731e+03  4.21014079e+01]";844,0233611024;1017,8168847927;45,8610728684;39,0585896323;996,4191595755;67,9605973026;37,3485651311;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;722,5793112151;62,9575420710;29,1608445591;173,6401622260;9,1832690309;8,9547721095;1075,8643479152;98,0265627190;53,9762915765
4;CashierData_weekly;full;mean;None;;;0,8000000000;lasso;False;0,0001000000;;;;;;;False;"[-7.72512167e-01  9.47316048e-03 -3.75100417e-01 -4.35386530e-01
 -5.10754857e-01 -4.97718844e-01 -6.33334397e-01 -2.96400923e-03
 -3.18013973e-01  1.64220061e-01 -3.80902610e-01  1.34501988e-01
  1.19271494e+00 -1.69376769e-01  9.12232377e-01 -3.25993617e-01
 -1.57783137e+00  8.49422574e-01 -1.06130755e+00 -1.03084850e+00
 -1.43196730e+00 -1.47300943e+00 -1.52773862e+00  2.76568396e-01
  7.52952395e+00 -5.76426777e+00  5.52912940e-01 -1.47900612e+01
 -6.55862816e+00 -5.19457830e+00 -4.64188380e+00  4.90708141e+00
 -1.56491385e-01  6.68103936e-02 -1.15846691e-02 -1.06758914e+00
  7.41877747e-01 -4.60635879e-01  9.30937054e-01  3.25858931e-01
 -7.08125603e+00  8.52251664e+01 -5.23645509e+01  4.60531124e+01
 -4.17103076e+01 -1.62540246e+02 -3.65179247e+02 -3.78499700e+02
  5.90081042e+01 -2.16671094e+01  3.78294875e+01 -1.44787203e+00
 -9.57063324e-01  2.72659464e+00  1.59352278e+00 -2.10233708e+00
 -1.02282502e+00 -7.68918130e-01 -1.40360566e+00  1.51420674e+00
  4.13147572e+00 -1.13038331e+00  1.19640828e+00 -3.47022971e+00
 -1.50539918e+01  1.65721349e+01  2.81908851e+01 -5.12332500e+01
  2.66219998e+00 -5.54120143e+00 -1.63868164e+00  9.13433073e-01
 -6.63094347e+01  1.59257857e+01 -7.86358381e+01  2.75316657e+01
 -2.19451320e+02  8.04531560e+02  5.05454698e+02  8.89653707e+01
  1.76265587e+02  2.14207086e+01 -3.10511618e+02  2.99699178e+02
  8.00935815e+00 -6.87926407e+00 -5.18761995e-01 -3.68432103e+00
 -1.12995674e+01  4.79106870e+00  5.72071909e+00 -6.60452326e+00
  1.10994435e+01 -4.68973189e+00 -6.08742133e+00  6.95165306e+00
 -2.69952423e+00  1.66681231e+00  1.91617308e+00 -1.61126394e+00
 -2.65124642e+02  1.27155805e+02  1.30088120e+02 -1.37881086e+02
 -1.24648121e-01 -0.00000000e+00 -4.42745567e-02 -9.31458597e-02
  1.91244361e+00  5.43220584e-14  5.43566356e-02  7.24348140e-01
  1.17399179e+00  5.82381561e-17 -5.29843250e-02 -3.11380934e-01
 -2.14232737e+01 -3.82995130e-11 -7.66209521e-01 -4.79070277e+00
  1.77715391e+00  4.36221163e-13 -1.10508783e-02 -2.39802724e-02
  3.22637275e+01  1.45599025e-12  2.00817317e+00  8.53474911e+01
 -6.65201474e+02 -2.50105508e-10 -7.06024885e+00 -1.56509792e+01
  2.01623749e+01  0.00000000e+00 -5.86004031e+00 -6.45858911e+01
 -1.88543478e-01 -2.79923297e-17  7.25067573e-01  1.59011240e+00
  8.14691006e-01  3.96130224e-13  2.87842337e-01  1.45858379e+00
  8.50947472e-01  0.00000000e+00  1.67955493e-02  3.18859975e-02
 -3.19595014e-01 -6.09581476e-13 -8.21510701e-02 -1.16293938e+00
  2.43505913e+01  3.57773512e-11 -2.29763888e+00 -1.03520062e+01
  6.05728439e+01  1.34009995e+01  9.39423341e+01  8.59856527e+00
  1.42990628e+03  2.71839525e+01  0.00000000e+00 -8.16876059e+00
  2.31580842e+01  2.76318692e+02 -9.76810433e+02  1.62709054e+03
 -4.18432284e+00 -6.00089391e+00 -5.28118836e+00 -5.12871312e+00
  3.69001511e+03  1.15711743e+02  7.69042971e+02 -1.06582186e+03
 -2.48762715e+02  1.74358791e+03  2.90241507e+01]";857,6913438629;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;173,6285841891;9,1828068033;8,9543924731;1332,3149151546;121,7326423595;75,8246963270
