;dataset;featureset;imputation;dim_reduction;init_train_len;test_len;split_perc;learning_rate;max_depth;subsample;n_estimators;gamma;alpha;lambda;one_step_ahead;RMSE_Train_RW;MAPE_Train_RW;sMAPE_Train_RW;RMSE_Test_RW;MAPE_Test_RW;sMAPE_Test_RW;RMSE_Train_seasRW;MAPE_Train_seasRW;sMAPE_Train_seasRW;RMSE_Test_seasRW;MAPE_Test_seasRW;sMAPE_Test_seasRW;RMSE_Train_HA;MAPE_Train_HA;sMAPE_Train_HA;RMSE_Test_HA;MAPE_Test_HA;sMAPE_Test_HA;RMSE_Train;MAPE_Train;sMAPE_Train;RMSE_Test;MAPE_Test;sMAPE_Test
0;OwnDoc;full;None;None;;;0,8000000000;0,1000000000;3;1;10;10;0;1;False;150,9516261675;27903,4004841302;94,4595953641;63,8768346116;15030,4646660309;72,8809915635;111,5078472575;10877,0419458466;52,7303834794;166,1191214159;44800,8480122347;115,0407697969;106,6003555156;25665,1708637096;64,0376163967;90,9626900336;29856,7889672651;75,8713487416;88,1129716289;1217,1053321901;66,5697640137;72,4913013052;5444,8922700619;81,7957308036
1;OwnDoc;full;None;None;;;0,8000000000;0,0500000000;5;0.3;100;0;0;0;False;150,9516261675;27903,4004841302;94,4595953641;63,8768346116;15030,4646660309;72,8809915635;111,5078472575;10877,0419458466;52,7303834794;166,1191214159;44800,8480122347;115,0407697969;106,6003555156;25665,1708637096;64,0376163967;90,9626900336;29856,7889672651;75,8713487416;33,9718827378;4563,4019767234;43,8277890876;96,2904833352;22135,2338127405;85,3478447464
2;OwnDoc;full;None;None;;;0,8000000000;0,1000000000;10;1;100;1;0;10;False;150,9516261675;27903,4004841302;94,4595953641;63,8768346116;15030,4646660309;72,8809915635;111,5078472575;10877,0419458466;52,7303834794;166,1191214159;44800,8480122347;115,0407697969;106,6003555156;25665,1708637096;64,0376163967;90,9626900336;29856,7889672651;75,8713487416;8,3637528402;66,8623692693;33,0630723811;71,6353016911;9019,9113074495;77,0645577057
