;dataset;featureset;imputation;dim_reduction;init_train_len;test_len;split_perc;algo;dropout_rate;batch_size;learning_rate;min_val_loss_improvement;max_epochs_wo_improvement;n_hidden;num_hidden_layer;one_step_ahead;RMSE_Train_RW;MAPE_Train_RW;sMAPE_Train_RW;RMSE_Test_RW;MAPE_Test_RW;sMAPE_Test_RW;RMSE_Train_seasRW;MAPE_Train_seasRW;sMAPE_Train_seasRW;RMSE_Test_seasRW;MAPE_Test_seasRW;sMAPE_Test_seasRW;RMSE_Train_HA;MAPE_Train_HA;sMAPE_Train_HA;RMSE_Test_HA;MAPE_Test_HA;sMAPE_Test_HA;RMSE_Train;MAPE_Train;sMAPE_Train;RMSE_Test;MAPE_Test;sMAPE_Test
0;OwnDoc;full;mean;None;;;0,8000000000;ANN;0,0000000000;4;0,0100000000;100;20;10;2;False;135,9676018826;22695,6056582287;77,7674942873;83,4730891556;25142,5591303285;63,8916620982;104,8591334801;7996,1211101599;49,9559105738;83,4730891556;25142,5591303285;63,8916620982;96,2825761246;20937,3762309210;52,2412133762;83,4730891556;25142,5591303285;63,8916620982;93,1966610618;6190,3813875038;65,3640975039;66,4280900788;16626,3930990195;64,8789380769
1;OwnDoc;full;mean;None;;;0,8000000000;ANN;0,0000000000;4;0,0100000000;1000;20;50;2;False;135,9676018826;22695,6056582287;77,7674942873;83,4730891556;25142,5591303285;63,8916620982;104,8591334801;7996,1211101599;49,9559105738;83,4730891556;25142,5591303285;63,8916620982;96,2825761246;20937,3762309210;52,2412133762;83,4730891556;25142,5591303285;63,8916620982;71,8361771949;5619,6264362914;52,5778641215;173,3708547648;27662,8855444806;89,8435544516
